section_id,circle,division,section,current_lat,current_lon,flags,decision,new_lat,new_lon,your_note
CYBERCITY_CHEVELLA,CYBERCITY,IBRAHIMBAGH,CHEVELLA,17.3062296,78.1370079,far_from_circle; far_from_division; too_vague,,,,
CYBERCITY_CHILKUR,CYBERCITY,IBRAHIMBAGH,CHILKUR,17.4577733,78.3710193,far_from_division; matched_a_building_or_road,,,,
CYBERCITY_IBRAHIMBAGH,CYBERCITY,IBRAHIMBAGH,IBRAHIMBAGH,17.3767677,78.381442,far_from_division; matched_a_building_or_road,,,,
CYBERCITY_NARSINGI,CYBERCITY,IBRAHIMBAGH,NARSINGI,17.3915187,78.3598924,far_from_division,,,,
HABSIGUDA_CHERLAPALLY_I,HABSIGUDA,SAINIKPURI,CHERLAPALLY-I,17.4687455,78.6024858,shares_coordinates,,,,
HABSIGUDA_CHERLAPALLY_II,HABSIGUDA,SAINIKPURI,CHERLAPALLY-II,17.4687455,78.6024858,shares_coordinates,,,,
HABSIGUDA_GHATKESAR,HABSIGUDA,KEESARA,GHATKESAR,17.4510837,78.6843022,too_vague,,,,
HABSIGUDA_UPPAL_BAGAYATH,HABSIGUDA,HABSIGUDA,UPPAL BAGAYATH,,,not_found,,,,
HYDERABAD_CENTRAL_SHANKARMUTT,HYDERABAD CENTRAL,AZAMABAD,SHANKARMUTT,,,not_found,,,,
HYDERABAD_CENTRAL_SURYANAGAR,HYDERABAD CENTRAL,MEHDIPATNAM,SURYANAGAR,17.3933139,78.5610005,far_from_division; matched_a_building_or_road,,,,
HYDERABAD_SOUTH_DATTATREYA_COLONY,HYDERABAD SOUTH,BEGUM BAZAR,DATTATREYA COLONY,17.5110985,78.4052903,far_from_circle; far_from_division,,,,
HYDERABAD_SOUTH_PUTLI_BOWLI,HYDERABAD SOUTH,BEGUM BAZAR,PUTLI BOWLI,,,not_found,,,,
HYDERABAD_SOUTH_SAIDABAD,HYDERABAD SOUTH,ASMANGADH,SAIDABAD,17.359533,78.5147979,too_vague,,,,
MEDCHAL_ALIABAD,MEDCHAL,MEDCHAL,ALIABAD,17.34563,78.4726799,far_from_circle; far_from_division,,,,
MEDCHAL_MEDCHAL_RURAL,MEDCHAL,MEDCHAL,MEDCHAL RURAL,17.5381982,78.4009122,shares_coordinates; matched_a_building_or_road,,,,
MEDCHAL_MEDCHAL_TOWN,MEDCHAL,MEDCHAL,MEDCHAL TOWN,17.5381982,78.4009122,shares_coordinates; matched_a_building_or_road,,,,
MEDCHAL_SHAMEERPET,MEDCHAL,MEDCHAL,SHAMEERPET,17.5944116,78.5749818,far_from_circle; far_from_division; matched_a_building_or_road,,,,
RAJENDRA_NAGAR_HIMAYAT_SAGAR,RAJENDRA NAGAR,RAJENDRA NAGAR,HIMAYAT SAGAR,17.3135573,78.3572056,far_from_division; matched_a_building_or_road,,,,
RAJENDRA_NAGAR_MAHESHWARAM,RAJENDRA NAGAR,KANDUKUR,MAHESHWARAM,17.3158544,78.4828417,far_from_division,,,,
RAJENDRA_NAGAR_NANDIGAMA,RAJENDRA NAGAR,SHADNAGAR,NANDIGAMA,17.1174082,78.2486496,far_from_circle; matched_a_building_or_road,,,,
RAJENDRA_NAGAR_PAHADISHARIFF,RAJENDRA NAGAR,KANDUKUR,PAHADISHARIFF,17.2677334,78.4715471,far_from_division,,,,
RAJENDRA_NAGAR_SHADNAGAR_RURAL,RAJENDRA NAGAR,SHADNAGAR,SHADNAGAR RURAL,17.0943572,78.2091059,far_from_circle; matched_a_building_or_road,,,,
RAJENDRA_NAGAR_SHAPOOR,RAJENDRA NAGAR,RAJENDRA NAGAR,SHAPOOR,18.0061198,77.6222813,outside_greater_hyderabad; far_from_circle; far_from_division; matched_a_building_or_road,,,,
SAROORNAGAR_ABDULLAPURMET,SAROORNAGAR,IBRAHIMPATNAM,ABDULLAPURMET,17.3209561,78.6929681,far_from_division; too_vague,,,,
SAROORNAGAR_ADIBATLA,SAROORNAGAR,IBRAHIMPATNAM,ADIBATLA,17.230899,78.5558997,far_from_division; matched_a_building_or_road,,,,
SAROORNAGAR_INJAPUR,SAROORNAGAR,IBRAHIMPATNAM,INJAPUR,17.2994314,78.5852848,far_from_division,,,,
SAROORNAGAR_PEDDA_AMBERPET,SAROORNAGAR,SAROORNAGAR,PEDDA AMBERPET,17.3172848,78.6384505,far_from_division; matched_a_building_or_road,,,,
SAROORNAGAR_TURKAYAMZAL,SAROORNAGAR,IBRAHIMPATNAM,TURKAYAMZAL,,,not_found,,,,
SECUNDERABAD_RANGA_REDDY_NAGAR,SECUNDERABAD,BOWENPALLY,RANGA REDDY NAGAR,17.3262463,78.4094032,far_from_circle; far_from_division; matched_a_building_or_road,,,,
