section_id,circle,division,subdivision,section,geocode_status,lat,lon,review_priority,flags,note,km_from_circle_centre,km_from_division_centre,query_used,alias_used,osm_name,osm_category,osm_type,osm_place_rank,n_candidates,other_candidates,flag_not_found,flag_outside_greater_hyderabad,flag_far_from_circle,flag_far_from_division,flag_too_vague,flag_shares_coordinates,flag_matched_a_building_or_road
CYBERCITY_CHEVELLA,CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,found,17.3062296,78.1370079,1_check_first,far_from_circle; far_from_division; too_vague,,29.7,27.2,"Chevella, Telangana",False,"Chevella mandal, Ranga Reddy, Telangana, 501503, India",boundary,administrative,12.0,1.0,[],False,False,True,True,True,False,False
CYBERCITY_CHILKUR,CYBERCITY,IBRAHIMBAGH,MOKILA,CHILKUR,found,17.4577733,78.3710193,1_check_first,far_from_division; matched_a_building_or_road,,0.8,20.8,"Chilkur, Hyderabad, Telangana",False,"Chilkur Balaji Food Court, HITEC City–Kondapur Main Road, jubilee gardens, Kondapur, Ward 107 Madhapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana, 500084, India",amenity,food_court,30.0,1.0,[],False,False,False,True,False,False,True
CYBERCITY_IBRAHIMBAGH,CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,IBRAHIMBAGH,found,17.3767677,78.381442,1_check_first,far_from_division; matched_a_building_or_road,,9.1,21.2,"Ibrahimbagh, Hyderabad, Telangana",False,"Ibrahimbagh Road, Ward 66 Langar Houz, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Gandipet mandal, Ranga Reddy, Telangana, 500031, India",highway,residential,26.0,1.0,[],False,False,False,True,False,False,True
CYBERCITY_NARSINGI,CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,NARSINGI,found,17.3915187,78.3598924,1_check_first,far_from_division,,7.4,18.6,"Narsingi, Telangana",False,"Narsingi, Manchirevula, Gandipet mandal, Ranga Reddy, Telangana, 500089, India",place,suburb,19.0,1.0,[],False,False,False,True,False,False,False
HABSIGUDA_CHERLAPALLY_I,HABSIGUDA,SAINIKPURI,CHERLAPALLY,CHERLAPALLY-I,found,17.4687455,78.6024858,1_check_first,shares_coordinates,,4.8,5.6,"Cherlapally-I, Hyderabad, Telangana",False,"Cherlapally, Ward 3 Cherlapally, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Kapra mandal, Medchal–Malkajgiri, Telangana, 500083, India",place,suburb,19.0,1.0,[],False,False,False,False,False,True,False
HABSIGUDA_CHERLAPALLY_II,HABSIGUDA,SAINIKPURI,CHERLAPALLY,CHERLAPALLY-II,found,17.4687455,78.6024858,1_check_first,shares_coordinates,,4.8,5.6,"Cherlapally-Ii, Hyderabad, Telangana",False,"Cherlapally, Ward 3 Cherlapally, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Kapra mandal, Medchal–Malkajgiri, Telangana, 500083, India",place,suburb,19.0,1.0,[],False,False,False,False,False,True,False
HABSIGUDA_GHATKESAR,HABSIGUDA,KEESARA,GHATKESAR,GHATKESAR,found,17.4510837,78.6843022,1_check_first,too_vague,,13.1,8.0,"Ghatkesar, Telangana",False,"Ghatkesar mandal, Medchal–Malkajgiri, Telangana, India",boundary,administrative,12.0,1.0,[],False,False,False,False,True,False,False
HABSIGUDA_UPPAL_BAGAYATH,HABSIGUDA,HABSIGUDA,UPPAL,UPPAL BAGAYATH,not_found,,,1_check_first,not_found,,,,,False,,,,,,,True,False,False,False,False,False,False
HYDERABAD_CENTRAL_SHANKARMUTT,HYDERABAD CENTRAL,AZAMABAD,BARKATPURA,SHANKARMUTT,not_found,,,1_check_first,not_found,,,,,False,,,,,,,True,False,False,False,False,False,False
HYDERABAD_CENTRAL_SURYANAGAR,HYDERABAD CENTRAL,MEHDIPATNAM,MEHDIPATNAM,SURYANAGAR,found,17.3933139,78.5610005,1_check_first,far_from_division; matched_a_building_or_road,,10.1,15.6,"Suryanagar, Hyderabad",False,"SuryaNagar Colony Road, Saraswati Colony, Ward 10 Uppal, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal–Malkajgiri, Telangana, 500060, India",highway,secondary,26.0,3.0,"[{""score"": 12.13, ""km_from_expected"": 9.13, ""query"": ""Suryanagar, Hyderabad"", ""lat"": 17.399865, ""lon"": 78.5631254, ""name"": ""SuryaNagar Colony Road, Laxma Reddy Colony, Ward 10 Uppal, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal\u2013Malkajgiri, Telangana, 500039, India"", ""category"": ""highway"", ""type"": ""secondary"", ""place_rank"": 26}, {""score"": 14.56, ""km_from_expected"": 11.56, ""query"": ""Suryanagar, Hyderabad"", ""lat"": 17.444727, ""lon"": 78.5773972, ""name"": ""Suryanagar, FCI Godown Road, Chandrapuri Colony, Ward 5 Mallapur, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal\u2013Malkajgiri, Telangana, 500076, India"", ""category"": ""amenity"", ""type"": ""childcare"", ""place_rank"": 30}, {""score"": 15.81, ""km_from_expected"": 12.81, ""query"": ""Suryanagar, Hyderabad"", ""lat"": 17.5158639, ""lon"": 78.506077, ""name"": ""Suryanagar (ward no-23), Surya Nagar Colony Road, Macha Bolarum, Bolarum, Ward 133 Macha Bolarum, Greater Hyderabad Municipal Corporation North Zone, Hyderabad, Alwal mandal, Medchal\u2013Malkajgiri, Telangana, 500100, India"", ""category"": ""amenity"", ""type"": ""childcare"", ""place_rank"": 30}]",False,False,False,True,False,False,True
HYDERABAD_SOUTH_DATTATREYA_COLONY,HYDERABAD SOUTH,BEGUM BAZAR,SEETHARAM BAGH,DATTATREYA COLONY,found,17.5110985,78.4052903,1_check_first,far_from_circle; far_from_division,,18.4,16.3,"Dattatreya Colony, Hyderabad, Telangana",False,"Dattatreya Colony, Gajularamaram, Ward 124 Alwyn Colony, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Quthbullapur mandal, Medchal–Malkajgiri, Telangana, 501002, India",place,neighbourhood,24.0,1.0,[],False,False,True,True,False,False,False
HYDERABAD_SOUTH_PUTLI_BOWLI,HYDERABAD SOUTH,BEGUM BAZAR,TROOP BAZAR,PUTLI BOWLI,not_found,,,1_check_first,not_found,,,,,False,,,,,,,True,False,False,False,False,False,False
HYDERABAD_SOUTH_SAIDABAD,HYDERABAD SOUTH,ASMANGADH,ASMANGADH,SAIDABAD,found,17.359533,78.5147979,1_check_first,too_vague,,4.2,1.3,"Saidabad, Hyderabad, Telangana",False,"Saidabad mandal, Hyderabad, Telangana, 500059, India",boundary,administrative,12.0,1.0,[],False,False,False,False,True,False,False
MEDCHAL_ALIABAD,MEDCHAL,MEDCHAL,SHAMEERPET,ALIABAD,found,17.34563,78.4726799,1_check_first,far_from_circle; far_from_division,,20.4,21.5,"Aliabad, Hyderabad, Telangana",False,"Aliabad, Ward 48 Shah Ali Banda, Greater Hyderabad Municipal Corporation South Zone, Hyderabad, Bahadurpura mandal, Hyderabad, Telangana, 500065, India",place,suburb,19.0,1.0,[],False,False,True,True,False,False,False
