section_id,circle,section,queries_tried,geocode_status,query_used,n_candidates,lat,lon,osm_name,osm_category,osm_type,osm_place_rank,osm_importance,other_candidates,geocode_source,retry_decision
BANJARA_HILLS_BANJARA_HILLS,BANJARA HILLS,BANJARA HILLS,1,found,"Banjara Hills, Hyderabad, Telangana",1.0,17.4177464,78.4399014,"Banjara Hills, Ward 92 Venkateshwara Colony, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Shaikpet mandal, Hyderabad, Telangana, 500034, India",place,suburb,19.0,0.3834517876427295,[],first run,
BANJARA_HILLS_BEGUMPET,BANJARA HILLS,BEGUMPET,1,found,"Begumpet, Hyderabad, Telangana",3.0,17.446195,78.463016,"Begumpet, Ward 149 Begumpet, Greater Hyderabad Municipal Corporation North Zone, Hyderabad, Balanagar mandal, Medchal–Malkajgiri, Telangana, 500133, India",place,suburb,19.0,0.3801813898984569,"[{""name"": ""Begumpet, brahmanwadi street number 1, Uma Nagar, Ameerpet, Ward 149 Begumpet, Greater Hyderabad Municipal Corporation North Zone, Hyderabad, Ameerpet mandal, Hyderabad, Telangana, 500133, India"", ""lat"": ""17.4386951"", ""lon"": ""78.4580969""}, {""name"": ""Begumpet, brahmanwadi street number 1, Uma Nagar, Ameerpet, Ward 149 Begumpet, Greater Hyderabad Municipal Corporation North Zone, Hyderabad, Ameerpet mandal, Hyderabad, Telangana, 500133, India"", ""lat"": ""17.4386323"", ""lon"": ""78.4580666""}]",first run,
BANJARA_HILLS_BORABANDA,BANJARA HILLS,BORABANDA,1,found,"Borabanda, Hyderabad, Telangana",2.0,17.4590687,78.4078664,"Borabanda, Borabanda Railway station road, Allapur, Ward 116 Allapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Kukatpally mandal, Medchal–Malkajgiri, Telangana, 800081, India",railway,station,30.0,0.2493003597649893,"[{""name"": ""Borabanda, Ward 103 Borabanda, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Balanagar mandal, Medchal\u2013Malkajgiri, Telangana, 500018, India"", ""lat"": ""17.4516700"", ""lon"": ""78.4154210""}]",first run,
BANJARA_HILLS_ERRAGADDA,BANJARA HILLS,ERRAGADDA,1,found,"Erragadda, Hyderabad, Telangana",2.0,17.4487999,78.4356074,"Erragadda, Ward 101 Erragadda, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Khairatabad mandal, Hyderabad, Telangana, 500018, India",place,suburb,19.0,0.3676067579119553,"[{""name"": ""Erragadda, Sanath Nagar Road, Sanath Nagar, Ward 100 Sanath Nagar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Balanagar mandal, Medchal\u2013Malkajgiri, Telangana, 500018, India"", ""lat"": ""17.4573276"", ""lon"": ""78.4334618""}]",first run,
BANJARA_HILLS_FILM_NAGAR,BANJARA HILLS,FILM NAGAR,1,found,"Film Nagar, Hyderabad, Telangana",1.0,17.4140574,78.4105031,"Film Nagar, Navirman Nagar, Ward 95 Jubilee Hills, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Shaikpet mandal, Hyderabad, Telangana, 500096, India",place,neighbourhood,24.0,0.3761123463663757,[],first run,
BANJARA_HILLS_GREENLANDS,BANJARA HILLS,GREENLANDS,1,found,"Greenlands, Hyderabad, Telangana",3.0,17.4333179,78.4559618,"Greenlands Road, Kundanbagh, Ameerpet, Ward 98 Ameerpet, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Ameerpet mandal, Hyderabad, Telangana, 500016, India",highway,primary,26.0,0.0534016960402837,"[{""name"": ""Greenlands Road, Nishat Bagh Colony, Somajiguda, Ward 97 Somajiguda, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Khairatabad mandal, Hyderabad, Telangana, 500016, India"", ""lat"": ""17.4337701"", ""lon"": ""78.4555770""}, {""name"": ""Greenlands Road, Nishat Bagh Colony, Somajiguda, Ward 97 Somajiguda, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Khairatabad mandal, Hyderabad, Telangana, 500082, India"", ""lat"": ""17.4303015"", ""lon"": ""78.4560806""}]",first run,
BANJARA_HILLS_JUBILEE_HILLS,BANJARA HILLS,JUBILEE HILLS,1,found,"Jubilee Hills, Hyderabad, Telangana",1.0,17.4308362,78.4102882,"Jubilee Hills, Ward 95 Jubilee Hills, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Shaikpet mandal, Hyderabad, Telangana, 500033, India",place,suburb,19.0,0.3811603398772719,[],first run,
BANJARA_HILLS_MADHAPUR,BANJARA HILLS,MADHAPUR,1,found,"Madhapur, Hyderabad, Telangana",1.0,17.4408924,78.3916304,"Madhapur, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana, 800081, India",place,suburb,19.0,0.3759021037005979,[],first run,
BANJARA_HILLS_MOTHI_NAGAR,BANJARA HILLS,MOTHI NAGAR,1,found,"Mothi Nagar, Hyderabad, Telangana",2.0,17.4540242,78.4259114,"don bosco school, Erragadda, Mothi Nagar, Borabanda Mothinagar road, Panduranga Rao Colony, Moosapet, Ward 101 Erragadda, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Balanagar mandal, Medchal–Malkajgiri, Telangana, 500018, India",office,educational_institution,30.0,6.836270695043896e-05,"[{""name"": ""Mothi Nagar Community Hall, Moti Nagar Main road, Panduranga Rao Colony, Moosapet, Ward 117 Moosapet, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Balanagar mandal, Medchal\u2013Malkajgiri, Telangana, 500018, India"", ""lat"": ""17.4547202"", ""lon"": ""78.4229318""}]",first run,
BANJARA_HILLS_SANATHNAGAR,BANJARA HILLS,SANATHNAGAR,1,found,"Sanathnagar, Hyderabad, Telangana",2.0,17.4569654,78.4434781,"Sanathnagar Industrial Estate Park, Sanath Nagar, Ward 100 Sanath Nagar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Balanagar mandal, Medchal–Malkajgiri, Telangana, India",leisure,park,24.0,0.0800683627069504,"[{""name"": ""Sanathnagar Swimming Pool, SRT, Ward 100 Sanath Nagar, Fateh Nagar, Sanath Nagar, Ward 100 Sanath Nagar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Balanagar mandal, Medchal\u2013Malkajgiri, Telangana, 500042, India"", ""lat"": ""17.4542182"", ""lon"": ""78.4454956""}]",first run,
BANJARA_HILLS_SANJEEV_REDDY_NAGAR,BANJARA HILLS,SANJEEV REDDY NAGAR,1,found,"Sanjeev Reddy Nagar, Hyderabad, Telangana",1.0,17.4400655,78.4456034,"Sanjeev Reddy Nagar Police Station, Street 6, Srinivas Nagar, SR Nagar, Ward 98 Ameerpet, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Ameerpet mandal, Hyderabad, Telangana, 500038, India",amenity,police,30.0,6.836270695043896e-05,[],first run,
BANJARA_HILLS_SRI_KRISHNA_NAGAR,BANJARA HILLS,SRI KRISHNA NAGAR,1,found,"Krishna Nagar, Hyderabad",1.0,17.4330523,78.4246746,"Krishna Nagar, Jubilee Hills, Ward 96 Yousufguda, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Shaikpet mandal, Hyderabad, Telangana, 500045, India",place,neighbourhood,24.0,6.836270695043896e-05,"[{""score"": 8.64, ""km_from_expected"": 0.64, ""query"": ""Sri Krishna Nagar, Banjara Hills"", ""lat"": 17.433945, ""lon"": 78.4276962, ""name"": ""Vidya Niketan High School, Sri Krishna Nagar, Krishna Nagar, Yousufguda, Hyderabad, Telangana 500045, Yousufguda Main Road, Krishna Nagar, Jubilee Hills, Ward 96 Yousufguda, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Shaikpet mandal, Hyderabad, Telangana, 500045, India"", ""category"": ""amenity"", ""type"": ""university"", ""place_rank"": 30}, {""score"": 8.69, ""km_from_expected"": 0.69, ""query"": ""Sri Krishna Nagar, Banjara Hills"", ""lat"": 17.4329259, ""lon"": 78.4278769, ""name"": ""Sri Sairam High School Main Branch, A-264, Sri Nagar Colony, Krishna Nagar, Yousufguda, Hyderabad, Telangana 500045, Yousufguda Main Road, Krishna Nagar, Jubilee Hills, Ward 96 Yousufguda, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Shaikpet mandal, Hyderabad, Telangana, 500045, India"", ""category"": ""amenity"", ""type"": ""university"", ""place_rank"": 30}, {""score"": 8.69, ""km_from_expected"": 0.69, ""query"": ""Sri Krishna Nagar, Banjara Hills"", ""lat"": 17.4332692, ""lon"": 78.4275719, ""name"": ""Amaravathi High School, Sri Krishna Nagar, Krishna Nagar, Yousufguda, Hyderabad, Telangana 500045, Yousufguda Main Road, Krishna Nagar, Jubilee Hills, Ward 96 Yousufguda, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Shaikpet mandal, Hyderabad, Telangana, 500045, India"", ""category"": ""amenity"", ""type"": ""university"", ""place_rank"": 30}, {""score"": 8.71, ""km_from_expected"": 0.71, ""query"": ""Sri Krishna Nagar, Banjara Hills"", ""lat"": 17.4319374, ""lon"": 78.4286034, ""name"": ""Unique Public School, 302,8-3-231/A/410, Sri Nagar Colony, Krishna Nagar, Yousufguda, Hyderabad, Telangana 500045, road number 5, Prashant Nagar, Banjara Hills, Ward 96 Yousufguda, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Shaikpet mandal, Hyderabad, Telangana, 500045, India"", ""category"": ""amenity"", ""type"": ""university"", ""place_rank"": 30}]",retry,retry accepted (score 1.0 vs 11.6)
BANJARA_HILLS_YELLA_REDDY_GUDA,BANJARA HILLS,YELLA REDDY GUDA,1,found,"Yella Reddy Guda, Hyderabad, Telangana",2.0,17.4349108,78.4378621,"Global kids international school, Jaya Prakash Nagar, Imam Guda, Padala Ramareddy Colony, Yella Reddy Guda, Hyderabad, Telangana 500073, Jayaprakashnagar, Padala Ramareddy Colony, Ward 96 Yousufguda, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Khairatabad mandal, Hyderabad, Telangana, 500073, India",amenity,university,30.0,6.836270695043896e-05,"[{""name"": ""Radiant High School, Sai Srinivasa Residency, opposite, Yella Reddy Guda Rd, Behind P.R.R.Law College, Imam Guda, Yella Reddy Guda, Hyderabad, Telangana 500073, Jayaprakashnagar, Padala Ramareddy Colony, Ward 96 Yousufguda, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Khairatabad mandal, Hyderabad, Telangana, 500073, India"", ""lat"": ""17.4348241"", ""lon"": ""78.4396290""}]",first run,
BANJARA_HILLS_YOUSUFGUDA,BANJARA HILLS,YOUSUFGUDA,1,found,"Yousufguda, Hyderabad, Telangana",1.0,17.4387499,78.4279866,"Yousufguda, Ward 99 Vengal Rao Nagar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Khairatabad mandal, Hyderabad, Telangana, 500045, India",place,suburb,19.0,0.1467350293736171,[],first run,
CYBERCITY_ALLAPUR,CYBERCITY,ALLAPUR,1,found,"Allapur, Hyderabad, Telangana",2.0,17.4565793,78.4095538,"Allapur, Ward 116 Allapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Kukatpally mandal, Medchal–Malkajgiri, Telangana, 800081, India",place,neighbourhood,24.0,0.0800683627069504,"[{""name"": ""Ward 116 Allapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Kukatpally mandal, Medchal\u2013Malkajgiri, Telangana, India"", ""lat"": ""17.4636193"", ""lon"": ""78.3916896""}]",first run,
