section_id,circle,section,queries_tried,geocode_status,query_used,n_candidates,lat,lon,osm_name,osm_category,osm_type,osm_place_rank,osm_importance,other_candidates
BANJARA_HILLS_BANJARA_HILLS,BANJARA HILLS,BANJARA HILLS,1,found,"Banjara Hills, Hyderabad, Telangana",1.0,17.4177464,78.4399014,"Banjara Hills, Ward 92 Venkateshwara Colony, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Shaikpet mandal, Hyderabad, Telangana, 500034, India",place,suburb,19.0,0.3834517876427295,[]
BANJARA_HILLS_BEGUMPET,BANJARA HILLS,BEGUMPET,1,found,"Begumpet, Hyderabad, Telangana",3.0,17.446195,78.463016,"Begumpet, Ward 149 Begumpet, Greater Hyderabad Municipal Corporation North Zone, Hyderabad, Balanagar mandal, Medchal–Malkajgiri, Telangana, 500133, India",place,suburb,19.0,0.3801813898984569,"[{""name"": ""Begumpet, brahmanwadi street number 1, Uma Nagar, Ameerpet, Ward 149 Begumpet, Greater Hyderabad Municipal Corporation North Zone, Hyderabad, Ameerpet mandal, Hyderabad, Telangana, 500133, India"", ""lat"": ""17.4386951"", ""lon"": ""78.4580969""}, {""name"": ""Begumpet, brahmanwadi street number 1, Uma Nagar, Ameerpet, Ward 149 Begumpet, Greater Hyderabad Municipal Corporation North Zone, Hyderabad, Ameerpet mandal, Hyderabad, Telangana, 500133, India"", ""lat"": ""17.4386323"", ""lon"": ""78.4580666""}]"
BANJARA_HILLS_BORABANDA,BANJARA HILLS,BORABANDA,1,found,"Borabanda, Hyderabad, Telangana",2.0,17.4590687,78.4078664,"Borabanda, Borabanda Railway station road, Allapur, Ward 116 Allapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Kukatpally mandal, Medchal–Malkajgiri, Telangana, 800081, India",railway,station,30.0,0.24930035976498935,"[{""name"": ""Borabanda, Ward 103 Borabanda, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Balanagar mandal, Medchal\u2013Malkajgiri, Telangana, 500018, India"", ""lat"": ""17.4516700"", ""lon"": ""78.4154210""}]"
BANJARA_HILLS_ERRAGADDA,BANJARA HILLS,ERRAGADDA,1,found,"Erragadda, Hyderabad, Telangana",2.0,17.4487999,78.4356074,"Erragadda, Ward 101 Erragadda, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Khairatabad mandal, Hyderabad, Telangana, 500018, India",place,suburb,19.0,0.36760675791195535,"[{""name"": ""Erragadda, Sanath Nagar Road, Sanath Nagar, Ward 100 Sanath Nagar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Balanagar mandal, Medchal\u2013Malkajgiri, Telangana, 500018, India"", ""lat"": ""17.4573276"", ""lon"": ""78.4334618""}]"
BANJARA_HILLS_FILM_NAGAR,BANJARA HILLS,FILM NAGAR,1,found,"Film Nagar, Hyderabad, Telangana",1.0,17.4140574,78.4105031,"Film Nagar, Navirman Nagar, Ward 95 Jubilee Hills, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Shaikpet mandal, Hyderabad, Telangana, 500096, India",place,neighbourhood,24.0,0.3761123463663757,[]
BANJARA_HILLS_GREENLANDS,BANJARA HILLS,GREENLANDS,1,found,"Greenlands, Hyderabad, Telangana",3.0,17.4333179,78.4559618,"Greenlands Road, Kundanbagh, Ameerpet, Ward 98 Ameerpet, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Ameerpet mandal, Hyderabad, Telangana, 500016, India",highway,primary,26.0,0.05340169604028378,"[{""name"": ""Greenlands Road, Nishat Bagh Colony, Somajiguda, Ward 97 Somajiguda, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Khairatabad mandal, Hyderabad, Telangana, 500016, India"", ""lat"": ""17.4337701"", ""lon"": ""78.4555770""}, {""name"": ""Greenlands Road, Nishat Bagh Colony, Somajiguda, Ward 97 Somajiguda, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Khairatabad mandal, Hyderabad, Telangana, 500082, India"", ""lat"": ""17.4303015"", ""lon"": ""78.4560806""}]"
BANJARA_HILLS_JUBILEE_HILLS,BANJARA HILLS,JUBILEE HILLS,1,found,"Jubilee Hills, Hyderabad, Telangana",1.0,17.4308362,78.4102882,"Jubilee Hills, Ward 95 Jubilee Hills, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Shaikpet mandal, Hyderabad, Telangana, 500033, India",place,suburb,19.0,0.3811603398772719,[]
BANJARA_HILLS_MADHAPUR,BANJARA HILLS,MADHAPUR,1,found,"Madhapur, Hyderabad, Telangana",1.0,17.4408924,78.3916304,"Madhapur, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana, 800081, India",place,suburb,19.0,0.3759021037005979,[]
BANJARA_HILLS_MOTHI_NAGAR,BANJARA HILLS,MOTHI NAGAR,1,found,"Mothi Nagar, Hyderabad, Telangana",2.0,17.4540242,78.4259114,"don bosco school, Erragadda, Mothi Nagar, Borabanda Mothinagar road, Panduranga Rao Colony, Moosapet, Ward 101 Erragadda, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Balanagar mandal, Medchal–Malkajgiri, Telangana, 500018, India",office,educational_institution,30.0,6.836270695043896e-05,"[{""name"": ""Mothi Nagar Community Hall, Moti Nagar Main road, Panduranga Rao Colony, Moosapet, Ward 117 Moosapet, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Balanagar mandal, Medchal\u2013Malkajgiri, Telangana, 500018, India"", ""lat"": ""17.4547202"", ""lon"": ""78.4229318""}]"
BANJARA_HILLS_SANATHNAGAR,BANJARA HILLS,SANATHNAGAR,1,found,"Sanathnagar, Hyderabad, Telangana",2.0,17.4569654,78.4434781,"Sanathnagar Industrial Estate Park, Sanath Nagar, Ward 100 Sanath Nagar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Balanagar mandal, Medchal–Malkajgiri, Telangana, India",leisure,park,24.0,0.08006836270695046,"[{""name"": ""Sanathnagar Swimming Pool, SRT, Ward 100 Sanath Nagar, Fateh Nagar, Sanath Nagar, Ward 100 Sanath Nagar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Balanagar mandal, Medchal\u2013Malkajgiri, Telangana, 500042, India"", ""lat"": ""17.4542182"", ""lon"": ""78.4454956""}]"
BANJARA_HILLS_SANJEEV_REDDY_NAGAR,BANJARA HILLS,SANJEEV REDDY NAGAR,1,found,"Sanjeev Reddy Nagar, Hyderabad, Telangana",1.0,17.4400655,78.4456034,"Sanjeev Reddy Nagar Police Station, Street 6, Srinivas Nagar, SR Nagar, Ward 98 Ameerpet, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Ameerpet mandal, Hyderabad, Telangana, 500038, India",amenity,police,30.0,6.836270695043896e-05,[]
BANJARA_HILLS_SRI_KRISHNA_NAGAR,BANJARA HILLS,SRI KRISHNA NAGAR,1,found,"Sri Krishna Nagar, Hyderabad, Telangana",1.0,17.5105245,78.4571841,"Sri Krishna Nagar, Pipe Line Road, IDA Jeedimetla, Ward 130 Subash Nagar, Greater Hyderabad Municipal Corporation North Zone, Hyderabad, Quthbullapur mandal, Medchal–Malkajgiri, Telangana, 500009, India",amenity,childcare,30.0,6.836270695043896e-05,[]
BANJARA_HILLS_YELLA_REDDY_GUDA,BANJARA HILLS,YELLA REDDY GUDA,1,found,"Yella Reddy Guda, Hyderabad, Telangana",2.0,17.4349108,78.4378621,"Global kids international school, Jaya Prakash Nagar, Imam Guda, Padala Ramareddy Colony, Yella Reddy Guda, Hyderabad, Telangana 500073, Jayaprakashnagar, Padala Ramareddy Colony, Ward 96 Yousufguda, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Khairatabad mandal, Hyderabad, Telangana, 500073, India",amenity,university,30.0,6.836270695043896e-05,"[{""name"": ""Radiant High School, Sai Srinivasa Residency, opposite, Yella Reddy Guda Rd, Behind P.R.R.Law College, Imam Guda, Yella Reddy Guda, Hyderabad, Telangana 500073, Jayaprakashnagar, Padala Ramareddy Colony, Ward 96 Yousufguda, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Khairatabad mandal, Hyderabad, Telangana, 500073, India"", ""lat"": ""17.4348241"", ""lon"": ""78.4396290""}]"
BANJARA_HILLS_YOUSUFGUDA,BANJARA HILLS,YOUSUFGUDA,1,found,"Yousufguda, Hyderabad, Telangana",1.0,17.4387499,78.4279866,"Yousufguda, Ward 99 Vengal Rao Nagar, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Khairatabad mandal, Hyderabad, Telangana, 500045, India",place,suburb,19.0,0.1467350293736171,[]
CYBERCITY_ALLAPUR,CYBERCITY,ALLAPUR,1,found,"Allapur, Hyderabad, Telangana",2.0,17.4565793,78.4095538,"Allapur, Ward 116 Allapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Kukatpally mandal, Medchal–Malkajgiri, Telangana, 800081, India",place,neighbourhood,24.0,0.08006836270695046,"[{""name"": ""Ward 116 Allapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Kukatpally mandal, Medchal\u2013Malkajgiri, Telangana, India"", ""lat"": ""17.4636193"", ""lon"": ""78.3916896""}]"
CYBERCITY_BALAJI_NAGAR,CYBERCITY,BALAJI NAGAR,1,found,"Balaji Nagar, Hyderabad, Telangana",3.0,17.3839683,78.430958,"Balaji Nagar, Ward 71 Gudimalkapur, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Asif Nagar mandal, Hyderabad, Telangana, 500264, India",place,neighbourhood,24.0,0.08006836270695046,"[{""name"": ""Balaji Nagar, Hayathnagar mandal, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Ranga Reddy, Telangana, 500097, India"", ""lat"": ""17.3267016"", ""lon"": ""78.5417555""}, {""name"": ""Balaji Nagar, KPHB Colony, Ward 115 Balaji Nagar, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Kukatpally mandal, Medchal\u2013Malkajgiri, Telangana, 500047, India"", ""lat"": ""17.4821906"", ""lon"": ""78.4096963""}]"
CYBERCITY_CHANDA_NAGAR,CYBERCITY,CHANDA NAGAR,1,found,"Chanda Nagar, Hyderabad, Telangana",3.0,17.4534764,78.3943669,"FinTown, 2 nd floor plot no-658, Survey of India Colony Chanda Naik Nagar, HITEC City, Ward 107 Madhapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana, 500081, India",landuse,commercial,24.0,0.08006836270695046,"[{""name"": ""Chanda Nagar Police Station, Chandanagar - RC Puram BHEL Rd Mumbai Highway, Gowtami Nagar Colony, Ward 110 Chandanagar, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana, 500050, India"", ""lat"": ""17.4962433"", ""lon"": ""78.3249086""}, {""name"": ""sharada vidyaniketan, 1764, Papireddy Nagar, Chanda Nagar, Hyderabad, Telangana 500050, Diamonds block walkway, Aarambh Township, Chandanagar, Lingampally, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana, 500019, India"", ""lat"": ""17.4832930"", ""lon"": ""78.3300281""}]"
CYBERCITY_CHEVELLA,CYBERCITY,CHEVELLA,2,found,"Chevella, Telangana",1.0,17.3062296,78.1370079,"Chevella mandal, Ranga Reddy, Telangana, 501503, India",boundary,administrative,12.0,0.04539457909600718,[]
CYBERCITY_CHILKUR,CYBERCITY,CHILKUR,1,found,"Chilkur, Hyderabad, Telangana",1.0,17.4577733,78.3710193,"Chilkur Balaji Food Court, HITEC City–Kondapur Main Road, jubilee gardens, Kondapur, Ward 107 Madhapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana, 500084, India",amenity,food_court,30.0,6.836270695043896e-05,[]
CYBERCITY_GACHIBOWLI,CYBERCITY,GACHIBOWLI,1,found,"Gachibowli, Hyderabad, Telangana",1.0,17.4436222,78.3519638,"Gachibowli, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana, 500032, India",place,suburb,19.0,0.38382602028473783,[]
CYBERCITY_HAFEEZPET,CYBERCITY,HAFEEZPET,1,found,"Hafeezpet, Hyderabad, Telangana",1.0,17.4834409,78.3611316,"Hafeezpet, Ward 107 Madhapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana, 500049, India",place,neighbourhood,24.0,0.36640063663752165,[]
CYBERCITY_IBRAHIMBAGH,CYBERCITY,IBRAHIMBAGH,1,found,"Ibrahimbagh, Hyderabad, Telangana",1.0,17.3767677,78.381442,"Ibrahimbagh Road, Ward 66 Langar Houz, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Gandipet mandal, Ranga Reddy, Telangana, 500031, India",highway,residential,26.0,0.05340169604028378,[]
CYBERCITY_KONDAPUR,CYBERCITY,KONDAPUR,1,found,"Kondapur, Hyderabad, Telangana",1.0,17.4587912,78.3730556,"Kondapur, Ward 107 Madhapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana, 500084, India",place,suburb,19.0,0.1467350293736171,[]
