section_id,section,retry_status,anchor_lat,anchor_lon,anchor_basis,best_score,best_km_from_expected,best_query,best_lat,best_lon,best_name,best_category,best_type,best_place_rank,other_candidates
BANJARA_HILLS_SRI_KRISHNA_NAGAR,SRI KRISHNA NAGAR,found,17.43683,78.43292,subdivision (2 sections),0.97,0.97,"Krishna Nagar, Hyderabad",17.4330523,78.4246746,"Krishna Nagar, Jubilee Hills, Ward 96 Yousufguda, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Shaikpet mandal, Hyderabad, Telangana, 500045, India",place,neighbourhood,24.0,"[{""score"": 8.64, ""km_from_expected"": 0.64, ""query"": ""Sri Krishna Nagar, Banjara Hills"", ""lat"": 17.433945, ""lon"": 78.4276962, ""name"": ""Vidya Niketan High School, Sri Krishna Nagar, Krishna Nagar, Yousufguda, Hyderabad, Telangana 500045, Yousufguda Main Road, Krishna Nagar, Jubilee Hills, Ward 96 Yousufguda, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Shaikpet mandal, Hyderabad, Telangana, 500045, India"", ""category"": ""amenity"", ""type"": ""university"", ""place_rank"": 30}, {""score"": 8.69, ""km_from_expected"": 0.69, ""query"": ""Sri Krishna Nagar, Banjara Hills"", ""lat"": 17.4329259, ""lon"": 78.4278769, ""name"": ""Sri Sairam High School Main Branch, A-264, Sri Nagar Colony, Krishna Nagar, Yousufguda, Hyderabad, Telangana 500045, Yousufguda Main Road, Krishna Nagar, Jubilee Hills, Ward 96 Yousufguda, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Shaikpet mandal, Hyderabad, Telangana, 500045, India"", ""category"": ""amenity"", ""type"": ""university"", ""place_rank"": 30}, {""score"": 8.69, ""km_from_expected"": 0.69, ""query"": ""Sri Krishna Nagar, Banjara Hills"", ""lat"": 17.4332692, ""lon"": 78.4275719, ""name"": ""Amaravathi High School, Sri Krishna Nagar, Krishna Nagar, Yousufguda, Hyderabad, Telangana 500045, Yousufguda Main Road, Krishna Nagar, Jubilee Hills, Ward 96 Yousufguda, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Shaikpet mandal, Hyderabad, Telangana, 500045, India"", ""category"": ""amenity"", ""type"": ""university"", ""place_rank"": 30}, {""score"": 8.71, ""km_from_expected"": 0.71, ""query"": ""Sri Krishna Nagar, Banjara Hills"", ""lat"": 17.4319374, ""lon"": 78.4286034, ""name"": ""Unique Public School, 302,8-3-231/A/410, Sri Nagar Colony, Krishna Nagar, Yousufguda, Hyderabad, Telangana 500045, road number 5, Prashant Nagar, Banjara Hills, Ward 96 Yousufguda, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Shaikpet mandal, Hyderabad, Telangana, 500045, India"", ""category"": ""amenity"", ""type"": ""university"", ""place_rank"": 30}]"
CYBERCITY_BALAJI_NAGAR,BALAJI NAGAR,found,17.45658,78.37306,division (3 sections),4.82,4.82,"Balaji Nagar, Hyderabad",17.4821906,78.4096963,"Balaji Nagar, KPHB Colony, Ward 115 Balaji Nagar, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Kukatpally mandal, Medchal–Malkajgiri, Telangana, 500047, India",place,neighbourhood,24.0,"[{""score"": 5.34, ""km_from_expected"": 2.34, ""query"": ""Balaji Nagar, Kondapur"", ""lat"": 17.4413554, ""lon"": 78.388307, ""name"": ""Balaji Hyderabad Mithai Bhandar, Cyber Towers - Madhapur Main Road, Vittal Rao Nagar, Madhapur, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana, 800081, India"", ""category"": ""amenity"", ""type"": ""fast_food"", ""place_rank"": 30}, {""score"": 5.91, ""km_from_expected"": 2.91, ""query"": ""Balaji Nagar, Kondapur"", ""lat"": 17.4396893, ""lon"": 78.3940188, ""name"": ""Sri Laxmi Balaji Womens Hostel, Cyber Towers - Madhapur Main Road, Vittal Rao Nagar, Madhapur, Ward 104 Kondapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana, 800081, India"", ""category"": ""tourism"", ""type"": ""hostel"", ""place_rank"": 30}, {""score"": 10.15, ""km_from_expected"": 10.15, ""query"": ""Balaji Nagar, Hyderabad"", ""lat"": 17.3839683, ""lon"": 78.430958, ""name"": ""Balaji Nagar, Ward 71 Gudimalkapur, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Asif Nagar mandal, Hyderabad, Telangana, 500264, India"", ""category"": ""place"", ""type"": ""neighbourhood"", ""place_rank"": 24}, {""score"": 20.57, ""km_from_expected"": 20.57, ""query"": ""Balaji Nagar"", ""lat"": 17.5148928, ""lon"": 78.557151, ""name"": ""Balaji Nagar, Alwal mandal, Medchal\u2013Malkajgiri, Telangana, 500087, India"", ""category"": ""place"", ""type"": ""suburb"", ""place_rank"": 19}]"
CYBERCITY_CHEVELLA,CHEVELLA,found,17.45879,78.36589,circle (9 sections),39.63,29.63,Chevella,17.3062296,78.1370079,"Chevella mandal, Ranga Reddy, Telangana, 501503, India",boundary,administrative,12.0,[]
CYBERCITY_CHILKUR,CHILKUR,found,17.45879,78.36589,circle (9 sections),3.56,0.56,"Chilkur, Hyderabad",17.4577733,78.3710193,"Chilkur Balaji Food Court, HITEC City–Kondapur Main Road, jubilee gardens, Kondapur, Ward 107 Madhapur, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Serilingampalle mandal, Ranga Reddy, Telangana, 500084, India",amenity,food_court,30.0,[]
CYBERCITY_IBRAHIMBAGH,IBRAHIMBAGH,found,17.45879,78.36589,circle (9 sections),12.27,9.27,"Ibrahimbagh, Hyderabad",17.3767677,78.381442,"Ibrahimbagh Road, Ward 66 Langar Houz, Greater Hyderabad Municipal Corporation Central Zone, Hyderabad, Gandipet mandal, Ranga Reddy, Telangana, 500031, India",highway,residential,26.0,[]
CYBERCITY_K_P_H_B_COLONY,K P H B COLONY,found,17.45658,78.37306,division (3 sections),4.73,4.73,"KPHB Colony, Hyderabad",17.4922068,78.3973638,"KPHB Colony, Ward 115 Balaji Nagar, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Kukatpally mandal, Medchal–Malkajgiri, Telangana, 500072, India",place,suburb,19.0,"[{""score"": 8.14, ""km_from_expected"": 5.14, ""query"": ""KPHB Colony, Hyderabad"", ""lat"": 17.4938025, ""lon"": 78.4017651, ""name"": ""KPHB Colony, Nizampet - JNTU Road Mumbai Highway, Satavahana Nagar, Ward 123 Hydernagar, Greater Hyderabad Municipal Corporation West Zone, Hyderabad, Kukatpally mandal, Medchal\u2013Malkajgiri, Telangana, 500072, India"", ""category"": ""railway"", ""type"": ""station"", ""place_rank"": 30}, {""score"": 28.34, ""km_from_expected"": 20.34, ""query"": ""K P H B Colony, Hyderabad"", ""lat"": 17.4582681, ""lon"": 78.5648135, ""name"": ""A.P.H.B Colony Main Road, Mangapuram Colony, Ward 4 Meerpet H.B Colony, Greater Hyderabad Municipal Corporation East Zone, Hyderabad, Uppal mandal, Medchal\u2013Malkajgiri, Telangana, 500040, India"", ""category"": ""highway"", ""type"": ""tertiary"", ""place_rank"": 26}]"
CYBERCITY_NARSINGI,NARSINGI,found,17.45879,78.36589,circle (9 sections),7.51,7.51,Narsingi,17.3915187,78.3598924,"Narsingi, Manchirevula, Gandipet mandal, Ranga Reddy, Telangana, 500089, India",place,suburb,19.0,"[{""score"": 14.76, ""km_from_expected"": 6.76, ""query"": ""Narsingi, Hyderabad"", ""lat"": 17.3996472, ""lon"": 78.351242, ""name"": ""National Payments Corporation of India (NPCI), Hyderabad, Narsingi, Gandipet mandal, Ranga Reddy, Telangana, India"", ""category"": ""landuse"", ""type"": ""commercial"", ""place_rank"": 24}]"
CYBERCITY_SHANKAR_PALLY,SHANKAR PALLY,found,17.45879,78.36589,circle (9 sections),24.81,24.81,Shankarpalli,17.4531904,78.1320742,"Shankarpalli, Shankarpalle mandal, Ranga Reddy, Telangana, 502201, India",place,village,19.0,"[{""score"": 27.9, ""km_from_expected"": 24.9, ""query"": ""Shankarpally"", ""lat"": 17.455813, ""lon"": 78.1311217, ""name"": ""Bus stand SHANKARPALLY, Brahmagupta Road, Shankarpalli, Shankarpalle mandal, Ranga Reddy, Telangana, 502201, India"", ""category"": ""amenity"", ""type"": ""bus_station"", ""place_rank"": 30}, {""score"": 27.95, ""km_from_expected"": 24.95, ""query"": ""Shankarpalli"", ""lat"": 17.4505553, ""lon"": 78.1307931, ""name"": ""Shankarpalli, Shankarpalli Road, Shankarpalli, Shankarpalle mandal, Ranga Reddy, Telangana, 502201, India"", ""category"": ""railway"", ""type"": ""station"", ""place_rank"": 30}, {""score"": 32.92, ""km_from_expected"": 24.92, ""query"": ""Shankarpally"", ""lat"": 17.4567289, ""lon"": 78.1310146, ""name"": ""Government Homoeo Dispenary, Shankarpally (NRHM), Brahmagupta Road, Shankarpalli, Shankarpalle mandal, Ranga Reddy, Telangana, 502201, India"", ""category"": ""amenity"", ""type"": ""doctors"", ""place_rank"": 30}, {""score"": 33.0, ""km_from_expected"": 25.0, ""query"": ""Shankarpally"", ""lat"": 17.4561596, ""lon"": 78.1302488, ""name"": ""Primary Health Centre, Shankarpally, Brahmagupta Road, Shankarpalli, Shankarpalle mandal, Vikarabad, Telangana, 501203, India"", ""category"": ""amenity"", ""type"": ""clinic"", ""place_rank"": 30}]"
HABSIGUDA_GHATKESAR,GHATKESAR,found,17.4159,78.60227,subdivision (3 sections),10.17,2.17,"Ghatkesar, Hyderabad",17.4165588,78.6227064,"Hyderabad-Janagam Highway, Boduppal, Ghatkesar mandal, Medipally mandal, Medchal–Malkajgiri, Telangana, 500098, India",highway,trunk,26.0,"[{""score"": 11.2, ""km_from_expected"": 3.2, ""query"": ""Ghatkesar, Hyderabad"", ""lat"": 17.4180477, ""lon"": 78.6323835, ""name"": ""Hyderabad-Janagam Highway, Peerzadiguda, Ghatkesar mandal, Medipally mandal, Medchal\u2013Malkajgiri, Telangana, 500098, India"", ""category"": ""highway"", ""type"": ""trunk"", ""place_rank"": 26}, {""score"": 13.16, ""km_from_expected"": 5.16, ""query"": ""Ghatkesar, Hyderabad"", ""lat"": 17.4276271, ""lon"": 78.6493109, ""name"": ""Hyderabad-Janagam Highway, Swarnagiri Colony, Subprabhat Colony, Ghatkesar mandal, Medchal\u2013Malkajgiri, Telangana, 501301, India"", ""category"": ""highway"", ""type"": ""trunk"", ""place_rank"": 26}, {""score"": 14.56, ""km_from_expected"": 6.56, ""query"": ""Ghatkesar, Hyderabad"", ""lat"": 17.4355657, ""lon"": 78.6606009, ""name"": ""Hyderabad-Janagam Highway, Rajeev Gruha Kalpa, Annoji Guda, Ghatkesar mandal, Medchal\u2013Malkajgiri, Telangana, 501301, India"", ""category"": ""highway"", ""type"": ""trunk"", ""place_rank"": 26}, {""score"": 15.37, ""km_from_expected"": 7.37, ""query"": ""Ghatkesar, Hyderabad"", ""lat"": 17.439444, ""lon"": 78.6671897, ""name"": ""Hyderabad-Janagam Highway, Rajeev Gruha Kalpa, S.LN Colony, Ghatkesar mandal, Medchal\u2013Malkajgiri, Telangana, 501301, India"", ""category"": ""highway"", ""type"": ""trunk"", ""place_rank"": 26}]"
HABSIGUDA_UPPAL_BAGAYATH,UPPAL BAGAYATH,not_found,17.40067,78.54921,subdivision (4 sections),,,,,,,,,,[]
