discom,year,month,date,circle,division,subdivision,section,area,catcode,catdesc,totservices,billedservices,units,load,source_file,units_negative_flag,unit_per_load,section_id,reason_removed
TGSPDCL,2023,7,2023-07-01,CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,IBRAHIMBAGH,POKALWADA,9,EV CHARGING STATIONS,1,1.0,-323.0,5.0,July.csv,True,-64.6,CYBERCITY_IBRAHIMBAGH,negative units (likely billing correction)
TGSPDCL,2023,6,2023-06-01,SECUNDERABAD,BOWENPALLY,RR NAGAR,I.D.P.L.,PRASHANTH NAGAR CLY (GRP-B),9,EV CHARGING STATIONS,2,2.0,-150.0,4.0,June.csv,True,-37.5,SECUNDERABAD_I_D_P_L,negative units (likely billing correction)
TGSPDCL,2023,3,2023-03-01,HYDERABAD CENTRAL,AZAMABAD,AMBERPET,GOLNAKA,MARUTHI NAGAR,9,EV CHARGING STATIONS,1,1.0,-867.0,17.0,March.csv,True,-51.0,HYDERABAD_CENTRAL_GOLNAKA,negative units (likely billing correction)
TGSPDCL,2023,3,2023-03-01,RAJENDRA NAGAR,RAJENDRA NAGAR,GAGANPAHAD,MD PALLY,VINAYAK NAGAR,9,EV CHARGING STATIONS,1,1.0,-462.0,5.0,March.csv,True,-92.4,RAJENDRA_NAGAR_MD_PALLY,negative units (likely billing correction)
TGSPDCL,2023,5,2023-05-01,HYDERABAD CENTRAL,AZAMABAD,AMBERPET,GOLNAKA,MARUTHI NAGAR,9,EV CHARGING STATIONS,1,1.0,-851.0,17.0,May.csv,True,-50.05882352941177,HYDERABAD_CENTRAL_GOLNAKA,negative units (likely billing correction)
TGSPDCL,2023,5,2023-05-01,SECUNDERABAD,PARADISE,PADMA RAO NAGAR,TARNAKA,GOKUL NAGAR,9,EV CHARGING STATIONS,1,1.0,-102.0,5.0,May.csv,True,-20.4,SECUNDERABAD_TARNAKA,negative units (likely billing correction)
TGSPDCL,2024,3,2024-03-01,HYDERABAD CENTRAL,AZAMABAD,AMBERPET,GOLNAKA,MARUTHI NAGAR,9,EV CHARGING STATIONS,1,1.0,-1740.0,17.0,March.csv,True,-102.3529411764706,HYDERABAD_CENTRAL_GOLNAKA,negative units (likely billing correction)
TGSPDCL,2024,5,2024-05-01,RAJENDRA NAGAR,RAJENDRA NAGAR,SHAMSHABAD,SHAMSHABAD,NEW SHAMSHABAD,9,EV CHARGING STATIONS,1,1.0,-600.0,49.0,May.csv,True,-12.244897959183673,RAJENDRA_NAGAR_SHAMSHABAD,negative units (likely billing correction)
TGSPDCL,2024,11,2024-11-01,HYDERABAD SOUTH,CHARMINAR,MIR ALAM,KISHANBAGH,BHARATH NAGAR,9,EV CHARGING STATIONS,1,1.0,-107.0,5.0,November.csv,True,-21.4,HYDERABAD_SOUTH_KISHANBAGH,negative units (likely billing correction)
TGSPDCL,2024,11,2024-11-01,SECUNDERABAD,BOWENPALLY,RR NAGAR,RANGA REDDY NAGAR,ASBESTOS CLY-II 415-812(GRP-B),9,EV CHARGING STATIONS,1,1.0,-38.0,2.0,November.csv,True,-19.0,SECUNDERABAD_RANGA_REDDY_NAGAR,negative units (likely billing correction)
TGSPDCL,2025,12,2025-12-01,SECUNDERABAD,PARADISE,PADMA RAO NAGAR,TARNAKA,GOKUL NAGAR,9,EV CHARGING STATIONS,1,1.0,-74.0,5.0,December.csv,True,-14.8,SECUNDERABAD_TARNAKA,negative units (likely billing correction)
TGSPDCL,2025,1,2025-01-01,CYBERCITY,KONDAPUR,KPHB,BALAJI NAGAR,MOOSAPET,9,EV CHARGING STATIONS,1,1.0,-1548.0,5.0,January.csv,True,-309.6,CYBERCITY_BALAJI_NAGAR,negative units (likely billing correction)
TGSPDCL,2026,7,2026-07-01,SAROORNAGAR,SAROORNAGAR,L B NAGAR,L.B.NAGAR,KRISHNA NAGAR-,9,EV CHARGING STATIONS,1,1.0,-1.0,7.0,July.csv,True,-0.1428571428571428,SAROORNAGAR_L_B_NAGAR,negative units (likely billing correction)
