discom,year,month,date,circle,division,subdivision,section,area,catcode,catdesc,totservices,billedservices,units,load,source_file,units_negative_flag,unit_per_load
TGNPDCL,2023,4,2023-04-01,HANUMAKONDA,HANAMKONDA/RURAL,PARKAL,DAMERA,MUSTYALAPALLY,9,EV CHARGING STATIONS,1,1.0,1.0,30.0,April.csv,False,0.03333333333333333
TGNPDCL,2023,4,2023-04-01,HANUMAKONDA,HANAMKONDA/RURAL,PARKAL,PARKAL-TOWN,PARKAL,9,EV CHARGING STATIONS,1,1.0,147.0,30.0,April.csv,False,4.9
TGNPDCL,2023,4,2023-04-01,HANUMAKONDA,HANAMKONDA/TOWN,HANAMKONDA(T),NAKKALAGUTTA,BALASAMUDRAM,9,EV CHARGING STATIONS,1,1.0,594.0,60.0,April.csv,False,9.9
TGNPDCL,2023,4,2023-04-01,HANUMAKONDA,HANAMKONDA/TOWN,HANAMKONDA(T),SUBEDARI,BONDIVAGU,9,EV CHARGING STATIONS,1,1.0,6.0,30.0,April.csv,False,0.2
TGNPDCL,2023,4,2023-04-01,HANUMAKONDA,HANAMKONDA/TOWN,HANAMKONDA(T),SUBEDARI,HUNTER ROAD,9,EV CHARGING STATIONS,1,1.0,28.0,30.0,April.csv,False,0.9333333333333333
TGNPDCL,2023,4,2023-04-01,KAMAREDDY,BANSWADA,BANSWADA,BANSWADA,BANSWADA,9,EV CHARGING STATIONS,1,1.0,80.0,30.0,April.csv,False,2.6666666666666665
TGNPDCL,2023,4,2023-04-01,HANUMAKONDA,HANAMKONDA/TOWN,KAZIPET,NIT,TEACHERS COLONY,9,EV CHARGING STATIONS,1,0.0,0.0,30.0,April.csv,False,0.0
TGNPDCL,2023,4,2023-04-01,KAMAREDDY,BANSWADA,BANSWADA,BIRKUR,BIRKUR,9,EV CHARGING STATIONS,1,1.0,0.0,30.0,April.csv,False,0.0
TGNPDCL,2023,4,2023-04-01,BHADRADRI KOTHAGUDEM,BHADRACHALAM,BHADRACHALAM,BCM-TOWN,BHADRACHALAM,9,EV CHARGING STATIONS,1,1.0,430.0,30.0,April.csv,False,14.333333333333334
TGNPDCL,2023,4,2023-04-01,BHADRADRI KOTHAGUDEM,BHADRACHALAM,MANUGURU,ASWAPURAM,ASWAPURAM,9,EV CHARGING STATIONS,1,1.0,13.0,30.0,April.csv,False,0.43333333333333335
TGNPDCL,2023,4,2023-04-01,BHADRADRI KOTHAGUDEM,KOTHAGUDEM,LAXMIDEVIPALLY,TEKULAPALLY,TEKULA PALLY,9,EV CHARGING STATIONS,1,1.0,40.0,30.0,April.csv,False,1.3333333333333333
TGNPDCL,2023,4,2023-04-01,BHADRADRI KOTHAGUDEM,KOTHAGUDEM,YELLANDU,YELLANDU TOWN,YELLANDU,9,EV CHARGING STATIONS,1,1.0,4.0,25.0,April.csv,False,0.16
TGNPDCL,2023,4,2023-04-01,ADILABAD,ADILABAD,ADILABAD TOWN,ADILABAD TOWN-III,ADILABAD-TOWN-III,9,EV CHARGING STATIONS,2,2.0,336.0,75.0,April.csv,False,4.48
TGNPDCL,2023,4,2023-04-01,ADILABAD,ADILABAD,ADILABAD TOWN,MAVALA,DASNAPUR,9,EV CHARGING STATIONS,1,1.0,739.0,30.0,April.csv,False,24.633333333333333
TGNPDCL,2023,4,2023-04-01,BHUPALAPALLY,MULUGU,N. VENKATAPURAM,N.V.PURAM,N V PURAM,9,EV CHARGING STATIONS,1,1.0,0.0,30.0,April.csv,False,0.0
TGNPDCL,2023,4,2023-04-01,BHADRADRI KOTHAGUDEM,KOTHAGUDEM,PALVANCHA,PALVONCHA TOWN-2,PALONCHA,9,EV CHARGING STATIONS,1,1.0,374.0,30.0,April.csv,False,12.466666666666667
TGNPDCL,2023,4,2023-04-01,MANCHERIAL,MANCHERIAL,CHENNUR,JAIPUR,JAIPUR,9,EV CHARGING STATIONS,1,1.0,0.0,30.0,April.csv,False,0.0
TGNPDCL,2023,4,2023-04-01,KARIMNAGAR,KARIMNAGAR RURAL,Gangadhara,ACHAMPALLY,WADDIARAM,9,EV CHARGING STATIONS,1,1.0,4.0,25.0,April.csv,False,0.16
TGNPDCL,2023,4,2023-04-01,KHAMMAM,KHAMMAM,KHAMMAM(T),KHAMMAM TOWN-2,ZONE (7)  KHAMMAM,9,EV CHARGING STATIONS,1,1.0,1275.0,30.0,April.csv,False,42.5
